Model,,Parameters,Params_perc,Accuracy,Reference AlexNet accuracy,F1,Size[MB],Model,Time[s],Model,params,AlexNet
model_0.86_al.h5,0.86,2751309,73.4155391847121,94.91,94.2,0.954635108481262,10.5277366638184,model_0.86_al.h5,0.644664986610413,model_0.86_al.h5,2751309,2.43254435786287
model_0.87_al.h5,0.87,2820973,75.2744434814537,94.77,94.2,0.957635467980295,10.7934112548828,model_0.87_al.h5,0.670249347686768,model_0.87_al.h5,2820973,2.42098342382993
model_0.88_al.h5,0.88,2883339,76.9386089811462,94.97,94.2,0.952755905511811,11.0312538146973,model_0.88_al.h5,0.703063995838165,model_0.88_al.h5,2883339,2.40278768640442
model_0.89_al.h5,0.89,2954646,78.8413548568891,94.83,94.2,0.952755905511811,11.3031959533691,model_0.89_al.h5,0.724515475273132,model_0.89_al.h5,2954646,2.38776804694149
model_0.9_al.h5,0.9,3026823,80.7673156892547,95.07,94.2,0.958823529411765,11.5784568786621,model_0.9_al.h5,0.768134291172028,model_0.9_al.h5,3026823,2.37886137471236
model_0.91_al.h5,0.91,3085243,82.3261866845413,95.07,94.2,0.958742632612967,11.8012657165527,model_0.91_al.h5,0.715763532161713,model_0.91_al.h5,3085243,2.36647038189037
model_0.92_al.h5,0.92,3148411,84.0117526384999,95.15,94.2,0.962671905697446,12.0421676635742,model_0.92_al.h5,0.75973223733902,model_0.92_al.h5,3148411,2.35723975730607
model_0.93_al.h5,0.93,3214290,85.7696585320036,95.23,94.2,0.96078431372549,12.2934112548828,model_0.93_al.h5,0.755395882606506,model_0.93_al.h5,3214290,2.34140780316018
model_0.94_al.h5,0.94,3289552,87.7779390668762,95.11,94.2,0.956435643564356,12.5804405212402,model_0.94_al.h5,0.782048758029938,model_0.94_al.h5,3289552,2.3210356914807
model_0.95_al.h5,0.95,3356880,89.5745098708928,95.03,94.2,0.956777996070727,12.8372116088867,model_0.95_al.h5,0.794103381633759,model_0.95_al.h5,3356880,2.30721720865389
model_0.96_al.h5,0.96,3433785,91.6266319847667,95.05,94.2,0.957298907646475,13.1305084228516,model_0.96_al.h5,0.812672983169556,model_0.96_al.h5,3433785,2.29154781383877
model_0.97_al.h5,0.97,3502562,93.4618676992964,95.01,94.2,0.95771878072763,13.3928070068359,model_0.97_al.h5,0.825045567035675,model_0.97_al.h5,3502562,2.27750632947795
model_0.98_al.h5,0.98,3569849,95.2573444651274,95.23,94.2,0.95968534906588,13.6494216918945,model_0.98_al.h5,0.84459181022644,model_0.98_al.h5,3569849,2.26537281966269
alex_full,,3747584,100,94.2,,,15,,0.804332,,3747584,2.22736453
